course,courseofferedby,term,dayperiod,semesteroffered,maininstructor,classroom
社会地理学,教育学部,2023年度,木2,前期,島津 俊之,L202(東2号館)
地学概論Ｂ,教育学部,2023年度,木2,前期,富田 晃彦,L102(東2号館)
英語学概論,教育学部,2023年度,木2,前期,松山 哲也,L103(東2号館)
国際組織の役割と機能,教育学部,2023年度,木2,前期,内田 みどり,L104(東2号館)
中等保健体育科教育法Ｃ,教育学部,2023年度,木2,前期,林 修,L203(東2号館)
空間の幾何構造Ａ,教育学部,2023年度,木2,前期,川上 智博,L201(東2号館)
管楽器演奏法Ⅰ,教育学部,2023年度,木2,前期,小寺 香奈,"L101(東2号館), 音101(東5号館)"
初等教育内容論（家庭）,教育学部,2023年度,木2,前期,村田 順子,"L北204(東3号館), L北206(東3号館)"
ヨーロッパ史研究,教育学部,2023年度,木2,前期,三品 英憲,L南405(東3号館)
特別な教育的ニーズの理解と支援,教育学部,2023年度,木2,前期,古井 克憲,E1-102(東1号館)
生涯学習支援論Ａ,教育学部,2023年度,木2,前期,西川 一弘,L105(東2号館)
生活福祉論,教育学部,2023年度,木3,前期,村田 順子,L北204(東3号館)
社会学,教育学部,2023年度,木3,前期,渡辺 翔平,L201(東2号館)
指揮法,教育学部,2023年度,木3,前期,山名 仁,音101(東5号館)
物理学概論Ａ,教育学部,2023年度,木3,前期,顧 萍,L203(東2号館)
中高生の生活指導,教育学部,2023年度,木3,前期,谷口 知美,L202(東2号館)
特別支援教育上級演習Ａ１,教育学部,2023年度,木3,前期,竹澤 大史,実101(東4号館)
特別支援教育上級演習Ｄ１,教育学部,2023年度,木3,前期,山﨑 由可里,東4号館
特別支援教育上級演習Ｅ１,教育学部,2023年度,木3,前期,古井 克憲,実202(東4号館)
彫刻制作,教育学部,2023年度,木3,前期,永沼 理善,美101(東5号館)
幼児教育実践演習Ⅰ,教育学部,2023年度,木3,前期,丁子 かおる,美術棟(東5号館)
社会調査論,教育学部,2023年度,木4,前期,渡辺 翔平,中408(東3号館)
学校保健,教育学部,2023年度,金1,前期,入駒 一美,L203(東2号館)
音楽,教育学部,2023年度,金1,前期,山名 仁,"L101(東2号館), 音101(東5号館), 音118(東5号館)"
小学校授業づくり実践論,教育学部,2023年度,金1,前期,舩越 勝,L103(東2号館)
シティズンシップ教育論,教育学部,2023年度,金1,前期,越野 章史,L南302(東3号館)
体育演習Ａ１,教育学部,2023年度,金1,前期,片渕 美穂子,体育館(アリーナ)
心理学研究法,教育学部,2023年度,金2,前期,米澤 好史,記載なし
中等数学科教育法Ａ,教育学部,2023年度,金2,前期,田窪 佳寿子,L102(東2号館)
漢文学概説,教育学部,2023年度,金2,前期,矢羽野 芳枝,L105(東2号館)
初等英語音声学,教育学部,2023年度,金2,前期,西山 淳子,L104(東2号館)
ロマン派及び近代の鍵盤音楽演奏法,教育学部,2023年度,金2,前期,山名 仁,音101(東5号館)
総合的な学習の時間の指導法,教育学部,2023年度,金2,前期,谷尻 治,"L103(東2号館), L201(東2号館), L202(東2号館)"
生活と家族,教育学部,2023年度,金2,前期,山本 奈美,L北204(東3号館)
発達と教育の心理学,教育学部,2023年度,金3,前期,米澤 好史,記載なし
中等国語科教育法Ａ,教育学部,2023年度,金4,前期,丸山 範高,L102(東2号館)
中等理科教育法Ａ,教育学部,2023年度,金4,前期,顧 萍,L104(東2号館)
中等音楽科教育法Ａ,教育学部,2023年度,金4,前期,上野 智子,音101(東5号館)
保育内容（環境）,教育学部,2023年度,金4,前期,西原 和哉,美術棟(東5号館)
中等社会・地理歴史科教育法Ａ,教育学部,2023年度,金4,前期,鈴木 達也,L202(東2号館)
障害児指導法ⅠＡ,教育学部,2023年度,土3土4,前期,山﨑 由可里,記載なし
障害児指導法ⅠＢ,教育学部,2023年度,土3土4,前期,古井 克憲,記載なし
日本言語文化演習Ａ,教育学部,2023年度,他,前期,長福 香菜,記載なし
日本言語文化演習Ｃ,教育学部,2023年度,他,前期,澤村 美幸,記載なし
日本言語文化演習Ｇ,教育学部,2023年度,他,前期,丸山 範高,記載なし
地理学演習Ａ,教育学部,2023年度,他,前期,山神 達也,記載なし
哲学演習Ａ,教育学部,2023年度,他,前期,小関 彩子,記載なし
中等技術科教育法Ａ,教育学部,2023年度,他,前期,嶋本 光芳,記載なし
音楽教育学ゼミナールＡ,教育学部,2023年度,他,前期,菅 道子,記載なし
音楽教育学研究Ａ,教育学部,2023年度,他,前期,上野 智子,記載なし
国際関係論演習Ａ,教育学部,2023年度,他,前期,内田 みどり,記載なし
鍵盤音楽研究ゼミナールＡ,教育学部,2023年度,他,前期,山名 仁,記載なし
アンサンブル研究Ａ,教育学部,2023年度,他,前期,小寺 香奈,記載なし
世界史演習Ａ,教育学部,2023年度,他,前期,三品 英憲,未定
視覚障害児の教育,教育学部,2023年度,他,前期,山本 利和,記載なし
聴覚障害児の教育,教育学部,2023年度,他,前期,井坂 行男,記載なし
臨海実習,教育学部,2023年度,他,前期,古賀 庸憲,記載なし
英米言語文化演習Ｂ１,教育学部,2023年度,他,前期,今村 隆男,記載なし
英語学演習Ａ１,教育学部,2023年度,他,前期,松山 哲也,記載なし
英語科教育演習Ｂ１,教育学部,2023年度,他,前期,尾上 利美,記載なし
英語学演習Ｂ１,教育学部,2023年度,他,前期,西山 淳子,記載なし
家庭科教育ゼミナールＡ１,教育学部,2023年度,他,前期,山本 奈美,記載なし
家庭科教育ゼミナールＢ１,教育学部,2023年度,他,前期,村田 順子,記載なし
課題演習（初等教育１）,教育学部,2023年度,他,前期,丁子 かおる,記載なし
心理学演習（初等）Ｂ１,教育学部,2023年度,他,前期,米澤 好史,記載なし
心理学演習（初等）Ｃ１,教育学部,2023年度,他,前期,則定 百合子,記載なし
心理学演習（中等）Ｂ１,教育学部,2023年度,他,前期,米澤 好史,記載なし
心理学演習（中等）Ｃ１,教育学部,2023年度,他,前期,則定 百合子,記載なし
日本史演習Ａ,教育学部,2023年度,他,前期,海津 一朗,記載なし
小学校音楽教育学研究,教育学部,2023年度,他,前期,上野 智子,記載なし
小学校音楽教育ゼミナール,教育学部,2023年度,他,前期,菅 道子,記載なし
小学校アンサンブル研究,教育学部,2023年度,他,前期,小寺 香奈,記載なし
小学校器楽教育および伴奏ゼミナール,教育学部,2023年度,他,前期,山名 仁,記載なし
数学教育ゼミナールＡ１,教育学部,2023年度,他,前期,川上 智博,記載なし
数学教育ゼミナールＡ３,教育学部,2023年度,他,前期,川上 智博,記載なし
数学教育ゼミナールＢ１,教育学部,2023年度,他,前期,北山 秀隆,記載なし
数学教育ゼミナールＢ３,教育学部,2023年度,他,前期,北山 秀隆,記載なし
数学教育ゼミナールＣ１,教育学部,2023年度,他,前期,田川 裕之,記載なし
数学教育ゼミナールＣ３,教育学部,2023年度,他,前期,田川 裕之,記載なし
数学教育ゼミナールＤ１,教育学部,2023年度,他,前期,西山 尚志,記載なし
数学教育ゼミナールＤ３,教育学部,2023年度,他,前期,西山 尚志,記載なし
図画工作・美術科教材研究Ａ,教育学部,2023年度,他,前期,湯川 雅紀,記載なし
体育演習Ａ２,教育学部,2023年度,他,前期,片渕 美穂子,記載なし
保健体育ゼミナールＡ,教育学部,2023年度,他,前期,村瀬 浩二,記載なし
保健体育ゼミナールＣ,教育学部,2023年度,他,前期,村瀬 浩二,記載なし
初等整数論,教育学部,2023年度,他,前期,岡崎 武生,記載なし
美術鑑賞演習,教育学部,2023年度,他,通年,青木 加苗,記載なし
スポーツマネジメント,教育学部,2023年度,他,通年,横山 誠,記載なし
運動生理学,教育学部,2023年度,他,通年,本山 司,記載なし
材料利用実習,教育学部,2023年度,他,通年,池際 博行,記載なし
無機合成実験,教育学部,2023年度,他,通年,木村 憲喜,記載なし
有機化学実験,教育学部,2023年度,他,通年,山口 真範,記載なし
天文学演習,教育学部,2023年度,他,通年,富田 晃彦,記載なし
理科教育ゼミナール（地学）,教育学部,2023年度,他,通年,此松 昌彦,記載なし
古環境学演習,教育学部,2023年度,他,通年,此松 昌彦,記載なし
教育学演習Ｃ,教育学部,2023年度,他,通年,谷口 知美,記載なし
教育学演習Ｄ,教育学部,2023年度,他,通年,二宮 衆一,記載なし
教育学演習Ｅ,教育学部,2023年度,他,通年,舩越 勝,記載なし
教育実習事前・事後指導,教育学部,2023年度,他,通年,教育実習委員会,記載なし
理科教育ゼミナール（物理Ｂ）,教育学部,2023年度,他,通年,顧 萍,記載なし
理科教育ゼミナール（物理Ｃ）,教育学部,2023年度,他,通年,木曽田 賢治,記載なし
理科実験実習（化学）,教育学部,2023年度,他,通年,木村 憲喜,記載なし
芸術演習Ⅰ,教育学部,2023年度,他,通年,永沼 理善,記載なし
芸術演習Ⅱ,教育学部,2023年度,他,通年,永沼 理善,記載なし
健康管理学,教育学部,2023年度,他,通年,本山 司,記載なし
社会体験実習Ａ,教育学部,2023年度,他,通年,教務委員会,記載なし
社会体験実習Ｂ,教育学部,2023年度,他,通年,教務委員会,記載なし
社会体験実習Ｃ,教育学部,2023年度,他,通年,教務委員会,記載なし
社会体験実習Ｄ,教育学部,2023年度,他,通年,教務委員会,記載なし
中等美術科教育法Ｂ,教育学部,2023年度,他,通年,佐藤 賢司,記載なし
中等技術科教育法Ｃ,教育学部,2023年度,他,通年,荒木 良一,記載なし
教育学演習Ａ,教育学部,2023年度,他,通年,越野 章史,記載なし
和歌山の自然,教育学部,2023年度,他,通年,古賀 庸憲,記載なし
教育実習Ａ（小学校）,教育学部,2023年度,他,通年,教育実習委員会,記載なし
教育実習Ａ（中学校）,教育学部,2023年度,他,通年,教育実習委員会,記載なし
教育実習Ｂ（小学校）,教育学部,2023年度,他,通年,教育実習委員会,記載なし
教育実習Ｂ（中学校）,教育学部,2023年度,他,通年,教育実習委員会,記載なし
教育実習Ｂ（高等学校）,教育学部,2023年度,他,通年,教育実習委員会,記載なし
インターンシップＡ,教育学部,2023年度,他,通年,教務委員会,記載なし
インターンシップＢ,教育学部,2023年度,他,通年,教務委員会,記載なし
教育実習Ｈ（へき地・小学校）,教育学部,2023年度,他,通年,教育実習委員会,記載なし
教育臨床実地研究,教育学部,2023年度,他,通年,舩越 勝,記載なし
社会教育実習,教育学部,2023年度,他,通年,村田 和子,記載なし
教育実習入門Ⅱ,教育学部,2023年度,他,通年,教育実習委員会,記載なし
障害児教育の進歩,教育学部,2023年度,他,通年,山﨑 由可里,記載なし
障害児指導法ⅡＡ,教育学部,2023年度,他,通年,江田 裕介,記載なし
特別支援教育実践研究,教育学部,2023年度,他,通年,山﨑 由可里,記載なし
特別支援教育実習,教育学部,2023年度,他,通年,教育実習委員会,記載なし
幼稚園教育課程総論,教育学部,2023年度,他,通年,吉葉 研司,記載なし
保育内容（人間関係）,教育学部,2023年度,他,通年,田中 文昭,記載なし
教育実習（幼稚園）,教育学部,2023年度,他,通年,教育実習委員会,記載なし
保育学概論,教育学部,2023年度,他,通年,細谷 里香,記載なし
美術史概論,教育学部,2023年度,他,通年,青木 加苗,記載なし
応用実習（小学校）,教育学部,2023年度,他,通年,教育実習委員会,記載なし
応用実習（中学校）,教育学部,2023年度,他,通年,教育実習委員会,記載なし
応用実習（高等学校）,教育学部,2023年度,他,通年,教育実習委員会,記載なし
子どもの食と栄養（幼児・児童）,教育学部,2023年度,他,通年,伴 亜紀,記載なし
子ども家庭福祉（幼児・児童）,教育学部,2023年度,他,通年,岩本 華子,記載なし
教師のためのキャリアデザイン,教育学部,2023年度,他,通年,カリキュラム委員会,記載なし
特別支援教育コーディネイター実践研究,教育学部,2023年度,他,通年,山﨑 由可里,記載なし
理科教育ゼミナール,教育学部,2023年度,他,通年,此松 昌彦,記載なし
理科教育ゼミナール（生物Ａ）,教育学部,2023年度,他,通年,梶村 麻紀子,記載なし
理科教育ゼミナール（生物Ｂ）,教育学部,2023年度,他,通年,古賀 庸憲,記載なし
理科教育ゼミナール（生物Ｃ）,教育学部,2023年度,他,通年,荒木 良一,記載なし
科学教育ゼミナール（応用科学）,教育学部,2023年度,他,通年,井嶋 博,記載なし
教育実習Ｈ（へき地・中学校）,教育学部,2023年度,他,通年,教育実習委員会,記載なし
地理学地域調査実習,教育学部,2023年度,他,通年,山神 達也,記載なし
地理学巡検実習,教育学部,2023年度,他,通年,島津 俊之,記載なし
中等美術科教育法Ｄ,教育学部,2023年度,他,通年,大橋 功,記載なし
中等技術科教育法Ｄ,教育学部,2023年度,他,通年,井嶋 博,記載なし
教育実地研究Ⅰ,教育学部,2023年度,他,通年,教育実習委員会,記載なし
教育実地研究Ⅱ,教育学部,2023年度,他,通年,教育実習委員会,記載なし
社会教育演習Ａ,教育学部,2023年度,他,通年,村田 和子,記載なし
社会教育演習Ｂ,教育学部,2023年度,他,通年,村田 和子,記載なし
社会教育特講Ⅰ,教育学部,2023年度,他,通年,村田 和子,記載なし
社会教育特講Ⅱ,教育学部,2023年度,他,通年,村田 和子,記載なし
理科教育ゼミナール（化学）,教育学部,2023年度,他,通年,木村 憲喜,記載なし
教育ボランティア,教育学部,2023年度,他,通年,教務委員会,記載なし
児童発達支援特別演習Ⅰ,教育学部,2023年度,他,通年,山﨑 由可里,記載なし
児童発達支援特別演習Ⅳ,教育学部,2023年度,他,通年,山﨑 由可里,記載なし
児童発達支援特別演習Ⅴ,教育学部,2023年度,他,通年,山﨑 由可里,記載なし
地域文化事業論,教育学部,2023年度,他,通年,藤田 美佳,記載なし
教育実習事前・事後指導（初等）,教育学部,2023年度,他,通年,教育実習委員会,記載なし
教育実習事前・事後指導（中等）,教育学部,2023年度,他,通年,教育実習委員会,記載なし
野外活動基礎演習,教育学部,2023年度,他,通年,池田 拓人,記載なし
文化財調査・保存実習,教育学部,2023年度,他,通年,海津 一朗,記載なし
日本古典文学Ｂ,教育学部,2023年度,月1,後期,長福 香菜,記載なし
理科実験実習（物理Ｂ）,教育学部,2023年度,月1,後期,木曽田 賢治,未定
家族関係学,教育学部,2023年度,月2,後期,村田 順子,記載なし
英米文学概説,教育学部,2023年度,月2,後期,今村 隆男,未定
数理世界の代数構造,教育学部,2023年度,月2,後期,北山 秀隆,未定
トレーニング論,教育学部,2023年度,月2,後期,矢野 勝,記載なし
英会話Ｂ,教育学部,2023年度,月2,後期,"Collins, Kevin Keyes",未定
初級対位法,教育学部,2023年度,月2,後期,森川 隆之,記載なし
生物学概論Ｂ,教育学部,2023年度,月2,後期,古賀 庸憲,記載なし
日本語の文体・文章,教育学部,2023年度,月2,後期,澤村 美幸,未定
保育内容総論,教育学部,2023年度,月2,後期,丁子 かおる,未定
理科教材分析,教育学部,2023年度,月2,後期,顧 萍,記載なし
社会科公民分野学習内容構成論,教育学部,2023年度,月2,後期,内田 みどり,未定
英語文学Ｂ,教育学部,2023年度,月2,後期,今村 隆男,記載なし
社会科を教えたい人のための初歩講座,教育学部,2023年度,月2,後期,三品 英憲,記載なし
国語学概説Ｂ,教育学部,2023年度,月3,後期,澤村 美幸,未定
世界史Ｂ,教育学部,2023年度,月3,後期,三品 英憲,未定
化学実験Ｂ,教育学部,2023年度,月3月4,後期,木村 憲喜,未定
微分積分Ⅱ,教育学部,2023年度,月3,後期,西山 尚志,未定
図画工作科演習（立体表現）,教育学部,2023年度,月3,後期,永沼 理善,未定
生活指導・学級づくり実践論,教育学部,2023年度,月3,後期,舩越 勝,未定
住居設計製図,教育学部,2023年度,月4,後期,村田 順子,未定
特別支援教育臨床学Ⅰ,教育学部,2023年度,月4,後期,北岡 大輔,記載なし
保育内容（造形表現）,教育学部,2023年度,月4,後期,丁子 かおる,記載なし
初等生活科教育法,教育学部,2023年度,月4,後期,西端 幸信,未定
解析学の世界,教育学部,2023年度,月4,後期,西山 尚志,未定
体育演習Ｂ１,教育学部,2023年度,月4,後期,矢野 勝,未定
中等国語科教育法Ｄ,教育学部,2023年度,月4,後期,丸山 範高,未定
中等理科教育法Ｄ,教育学部,2023年度,月4,後期,此松 昌彦,未定
地理学実習Ⅰ,教育学部,2023年度,月5,後期,山神 達也,未定
自然地理学,教育学部,2023年度,火1,後期,島津 俊之,未定
バロック及び古典派の鍵盤音楽演奏法,教育学部,2023年度,火1,後期,山名 仁,未定
線形代数Ⅱ,教育学部,2023年度,火1,後期,北山 秀隆,未定
特別支援教育医学Ⅰ,教育学部,2023年度,火1,後期,重里 敏子,記載なし
物理学概論Ｂ,教育学部,2023年度,火1,後期,木曽田 賢治,未定
食物学,教育学部,2023年度,火1,後期,加藤 みゆき,未定
体育哲学入門,教育学部,2023年度,火1,後期,片渕 美穂子,未定
絵画演習,教育学部,2023年度,火2,後期,高木 栄一,未定
デザイン素材演習,教育学部,2023年度,火2,後期,寺川 剛央,未定
体育,教育学部,2023年度,火2,後期,林 修,記載なし
器楽概論,教育学部,2023年度,火2,後期,山名 仁,未定
初等国語科教育法Ｂ,教育学部,2023年度,火2,後期,丸山 範高,未定
中等理科教育法Ｂ,教育学部,2023年度,火2,後期,山口 真範,未定
体育学入門,教育学部,2023年度,火2,後期,池田 拓人,未定
住生活論,教育学部,2023年度,火2,後期,村田 順子,未定
数学基礎演習,教育学部,2023年度,火2,後期,田川 裕之,未定
日本史概説,教育学部,2023年度,火2,後期,海津 一朗,未定
リコーダー・アンサンブル,教育学部,2023年度,火2,後期,小寺 香奈,未定
国文学史Ｃ,教育学部,2023年度,火2,後期,長福 香菜,記載なし
子どもと表現,教育学部,2023年度,火2,第3クォーター,丁子 かおる,記載なし
国文学史Ｂ,教育学部,2023年度,火3,後期,長福 香菜,記載なし
絵画素材演習,教育学部,2023年度,火3,後期,高木 栄一,未定
被服構成学実習,教育学部,2023年度,火3火4,後期,今村 律子,未定
体育,教育学部,2023年度,火3,後期,林 修,記載なし
教育の現状と課題,教育学部,2023年度,火3,後期,本村 めぐみ,記載なし
室内楽研究,教育学部,2023年度,火3,後期,小寺 香奈,未定
群論の基礎,教育学部,2023年度,火3,後期,田川 裕之,未定
現代社会論Ｂ,教育学部,2023年度,火3,後期,笠井 敬太,記載なし
デザイン技法基礎演習,教育学部,2023年度,火3,後期,山崎 直秀,未定
初等社会科教育法,教育学部,2023年度,火4,後期,西端 幸信,記載なし
道徳教育論Ａ,教育学部,2023年度,火4,後期,越野 章史,未定
芸術教育基礎論,教育学部,2023年度,火4,後期,丁子 かおる,未定
中等国語科教育法Ｂ,教育学部,2023年度,火4,後期,丸山 範高,未定
合唱基礎演奏法,教育学部,2023年度,火4,後期,太田 真紀,未定
整数の世界,教育学部,2023年度,火4,後期,田川 裕之,未定
素描,教育学部,2023年度,火4,後期,高木 栄一,未定
国文学概説Ｃ,教育学部,2023年度,火4,後期,佐藤 和正,記載なし
現代社会論Ａ,教育学部,2023年度,火4,後期,笠井 敬太,記載なし
日本歌曲演奏法,教育学部,2023年度,火5,後期,太田 真紀,未定
理科,教育学部,2023年度,火6,後期,古賀 庸憲,記載なし
国語,教育学部,2023年度,火6,後期,長福 香菜,記載なし
教育学概説Ｂ,教育学部,2023年度,水1,後期,越野 章史,未定
幾何学入門,教育学部,2023年度,水1,後期,川上 智博,未定
日英言語文化研究,教育学部,2023年度,水1,後期,松山 哲也,未定
中等社会・公民科教育法Ｂ,教育学部,2023年度,水1,後期,岡崎 裕,記載なし
彫刻素材演習,教育学部,2023年度,水2,後期,永沼 理善,未定
初等理科教育法,教育学部,2023年度,水2,後期,此松 昌彦,記載なし
中等英語科教育法Ｂ,教育学部,2023年度,水2,後期,尾上 利美,未定
保育内容（音楽・身体総合表現）,教育学部,2023年度,水2,後期,上野 智子,記載なし
教育法学,教育学部,2023年度,水2,後期,越野 章史,記載なし
現代教職論Ａ,教育学部,2023年度,水2,後期,深澤 英雄,記載なし
初等教育研究論,教育学部,2023年度,水2,後期,二宮 衆一,未定
英語,教育学部,2023年度,水2,後期,今村 隆男,未定
工芸技法研究,教育学部,2023年度,水2,後期,寺川 剛央,記載なし
教師のための生命倫理Ｂ,教育学部,2023年度,水2,後期,小関 彩子,記載なし
特別活動・教科外活動論Ｂ,教育学部,2023年度,水2,後期,舩越 勝,未定
地学実験,教育学部,2023年度,水3水4,後期,此松 昌彦,未定
教育臨床心理学研究,教育学部,2023年度,水3,後期,則定 百合子,未定
中等家庭科教育法Ｂ,教育学部,2023年度,水3,後期,山本 奈美,未定
工芸制作,教育学部,2023年度,水3,後期,寺川 剛央,未定
算数授業教材研究,教育学部,2023年度,水3,後期,川上 智博,未定
栽培学および実習Ｂ,教育学部,2023年度,水3水4,後期,荒木 良一,未定
こどもの理解と支援,教育学部,2023年度,水3,後期,米澤 好史,記載なし
生徒指導・進路指導におけるこどもの理解と支援の方法,教育学部,2023年度,水3,後期,米澤 好史,記載なし
宗教学概説,教育学部,2023年度,水4,後期,小関 彩子,未定
工芸素材演習,教育学部,2023年度,水4,後期,寺川 剛央,未定
家庭,教育学部,2023年度,水4,後期,山本 奈美,記載なし
特別支援教育臨床学Ⅱ,教育学部,2023年度,水4,後期,古井 克憲,記載なし
教育学基礎演習Ⅱ,教育学部,2023年度,水4,後期,舩越 勝,記載なし
管楽器演奏法Ⅱ,教育学部,2023年度,水4,後期,小寺 香奈,未定
近現代のアジア史,教育学部,2023年度,水4,後期,三品 英憲,未定
郷土学習の理論と歴史,教育学部,2023年度,水4,後期,島津 俊之,未定
英米文学史,教育学部,2023年度,水4,後期,今村 隆男,未定
体育演習Ｃ１,教育学部,2023年度,水4,後期,村瀬 浩二,未定
幼児の理解と支援（教育相談を含む。）,教育学部,2023年度,水4,後期,米澤 好史,記載なし
彫刻技法基礎演習,教育学部,2023年度,水4,後期,永沼 理善,未定
英語文学Ａ,教育学部,2023年度,水4,後期,今村 隆男,記載なし
学校教育と情報テクノロジー,教育学部,2023年度,水4,第3クォーター,井嶋 博,記載なし
SDGs論 －いのちと暮らし－,教育学部,2023年度,水4,第4クォーター,岡崎 裕,記載なし
社会教育概説Ｂ,教育学部,2023年度,水5,後期,村田 和子,未定
国文学概説Ｂ,教育学部,2023年度,木1,後期,長福 香菜,記載なし
近現代の世界史,教育学部,2023年度,木1,後期,三品 英憲,未定
初等音楽科教育法,教育学部,2023年度,木1,後期,菅 道子,記載なし
応用解析学,教育学部,2023年度,木1,後期,川上 智博,未定
科学教育指導論,教育学部,2023年度,木1,後期,荒木 良一,記載なし
住環境学演習,教育学部,2023年度,木1,後期,村田 順子,未定
SOGIEを考える,教育学部,2023年度,木1,後期,本村 めぐみ,記載なし
英語表現,教育学部,2023年度,木1,後期,西山 淳子,未定
教育行政学,教育学部,2023年度,木1,後期,西田 喜一,記載なし
心理学入門ゼミナール,教育学部,2023年度,木1,後期,米澤 好史,記載なし
英語史概説,教育学部,2023年度,木2,後期,"Collins, Kevin Keyes",未定
人間科学の動向,教育学部,2023年度,木2,後期,米澤 好史,記載なし
保全生物学,教育学部,2023年度,木2,後期,古賀 庸憲,未定
中等理科教育法Ｃ,教育学部,2023年度,木2,後期,梶村 麻紀子,未定
中等家庭科教育法Ｃ,教育学部,2023年度,木2,後期,山本 奈美,未定
距離と位相,教育学部,2023年度,木2,後期,川上 智博,未定
体育史,教育学部,2023年度,木2,後期,池田 拓人,記載なし
特別支援教育総論,教育学部,2023年度,木2,後期,山﨑 由可里,記載なし
幼児教育の方法と技術,教育学部,2023年度,木2,後期,丁子 かおる,未定
保育内容（健康）,教育学部,2023年度,木2,後期,古井 克憲,記載なし
途上国の政治と環境問題,教育学部,2023年度,木2,後期,内田 みどり,記載なし
倫理学概説,教育学部,2023年度,木2,後期,小関 彩子,未定
地域人口論,教育学部,2023年度,木2,後期,山神 達也,未定
社会教育計画論Ａ,教育学部,2023年度,木2,後期,西川 一弘,記載なし
芸術表現論,教育学部,2023年度,木2,後期,泉 健,記載なし
教育行政学,教育学部,2023年度,木2,後期,西田 喜一,記載なし
中等英語科教育法Ｃ,教育学部,2023年度,木3,後期,江利川 春雄,未定
思考心理学研究,教育学部,2023年度,木3,後期,米澤 好史,記載なし
科学教育内容学,教育学部,2023年度,木3,後期,顧 萍,未定
鍵盤楽器による中学校音楽科器楽教材開発基礎論,教育学部,2023年度,木3,後期,山名 仁,未定
英語表現演習,教育学部,2023年度,木3,後期,西山 淳子,未定
特別支援教育上級演習Ａ２,教育学部,2023年度,木3,後期,竹澤 大史,未定
特別支援教育上級演習Ｄ２,教育学部,2023年度,木3,後期,山﨑 由可里,未定
特別支援教育上級演習Ｅ２,教育学部,2023年度,木3,後期,古井 克憲,未定
教職実践演習（幼・小・中・高）,教育学部,2023年度,木4木5,後期,教職実践演習運営委員,未定
小中英語教育研究,教育学部,2023年度,木4,後期,江利川 春雄,未定
日本民俗学,教育学部,2023年度,木4,後期,吉村 旭輝,未定
ICT活用の理論と実践,教育学部,2023年度,木5,後期,豊田 充崇,記載なし
地学概論Ａ,教育学部,2023年度,金1,後期,此松 昌彦,未定
化学物質の合成と分解,教育学部,2023年度,金1,後期,山口 真範,記載なし
教育方法学,教育学部,2023年度,金1,後期,谷口 知美,未定
教育課程・方法の理論と実践,教育学部,2023年度,金1,後期,谷口 知美,未定
政治学,教育学部,2023年度,金2,後期,内田 みどり,未定
都市形成論,教育学部,2023年度,金2,後期,山神 達也,未定
化学概論Ｂ,教育学部,2023年度,金2,後期,木村 憲喜,未定
環境生理学,教育学部,2023年度,金2,後期,梶村 麻紀子,未定
アジア史研究,教育学部,2023年度,金2,後期,三品 英憲,未定
ソルフェージュ基礎論,教育学部,2023年度,金2,後期,上野 智子,未定
中国の古典,教育学部,2023年度,金2,後期,矢羽野 芳枝,記載なし
算数,教育学部,2023年度,金2,後期,山本 紀代,未定
社会科地理歴史分野学習内容構成論,教育学部,2023年度,金3,後期,海津 一朗,未定
初等算数科教育法,教育学部,2023年度,金3,後期,山本 紀代,未定
中等音楽科教育法Ｄ,教育学部,2023年度,金3,後期,上野 智子,未定
初等家庭科教育法Ｂ,教育学部,2023年度,金3,後期,山本 奈美,記載なし
運動学入門,教育学部,2023年度,金4,後期,矢野 勝,記載なし
中等数学科教育法Ｂ,教育学部,2023年度,金4,後期,西口 正純,未定
中等音楽科教育法Ｂ,教育学部,2023年度,金4,後期,菅 道子,未定
中等保健体育科教育法Ｂ,教育学部,2023年度,金4,後期,村瀬 浩二,未定
保育内容（言葉）,教育学部,2023年度,金4,後期,西原 和哉,未定
中等社会・地理歴史科教育法Ｂ,教育学部,2023年度,金4,後期,鈴木 達也,記載なし
子どもと環境,教育学部,2023年度,金5,第3クォーター,梶村 麻紀子,記載なし
子どもと人間関係,教育学部,2023年度,金5,第4クォーター,西原 和哉,記載なし
日本言語文化演習Ｂ,教育学部,2023年度,他,後期,長福 香菜,記載なし
日本言語文化演習Ｄ,教育学部,2023年度,他,後期,澤村 美幸,記載なし
日本言語文化演習Ｈ,教育学部,2023年度,他,後期,丸山 範高,記載なし
世界史研究入門Ａ,教育学部,2023年度,他,後期,三品 英憲,記載なし
地理学演習Ｂ,教育学部,2023年度,他,後期,山神 達也,記載なし
哲学演習Ｂ,教育学部,2023年度,他,後期,小関 彩子,記載なし
野外実習スキー,教育学部,2023年度,他,後期,池田 拓人,記載なし
中等技術科教育法Ｂ,教育学部,2023年度,他,後期,嶋本 光芳,記載なし
音楽教育学ゼミナールＢ,教育学部,2023年度,他,後期,菅 道子,記載なし
音楽教育学研究Ｂ,教育学部,2023年度,他,後期,上野 智子,記載なし
国際関係論演習Ｂ,教育学部,2023年度,他,後期,内田 みどり,記載なし
鍵盤音楽研究ゼミナールＢ,教育学部,2023年度,他,後期,山名 仁,記載なし
アンサンブル研究Ｂ,教育学部,2023年度,他,後期,小寺 香奈,記載なし
学校臨床のフィールドワーク,教育学部,2023年度,他,後期,越野 章史,記載なし
世界史演習Ｂ,教育学部,2023年度,他,後期,三品 英憲,記載なし
英米言語文化演習Ｂ２,教育学部,2023年度,他,後期,今村 隆男,記載なし
